,Date,Open,High,Low,Close
0,6/16/2023,"1,536.36","1,536.25","1,536.25","1,536.25"
1,6/15/2023,"1,512.91","1,536.36","1,536.36","1,536.36"
2,6/14/2023,"1,530.05","1,512.91","1,512.91","1,512.91"
3,6/13/2023,"1,522.00","1,530.05","1,530.05","1,530.05"
4,6/12/2023,"1,515.05","1,522.00","1,522.00","1,522.00"
5,6/9/2023,"1,512.14","1,515.05","1,515.05","1,515.05"
6,6/8/2023,"1,502.41","1,512.14","1,512.14","1,512.14"
7,6/7/2023,"1,508.67","1,502.41","1,502.41","1,502.41"
8,6/6/2023,"1,522.04","1,508.67","1,508.67","1,508.67"
9,6/5/2023,"1,516.22","1,522.04","1,522.04","1,522.04"
10,6/2/2023,"1,496.25","1,516.22","1,516.22","1,516.22"
11,6/1/2023,"1,486.28","1,496.25","1,496.25","1,496.25"
12,5/31/2023,"1,473.78","1,486.28","1,486.28","1,486.28"
13,5/30/2023,"1,483.73","1,473.78","1,473.78","1,473.78"
14,5/26/2023,"1,486.30","1,483.73","1,483.73","1,483.73"
15,5/25/2023,"1,501.91","1,486.30","1,486.30","1,486.30"
16,5/24/2023,"1,511.87","1,501.91","1,501.91","1,501.91"
17,5/23/2023,"1,529.13","1,511.87","1,511.87","1,511.87"
18,5/22/2023,"1,528.47","1,529.13","1,529.13","1,529.13"
19,5/19/2023,"1,521.53","1,528.47","1,528.47","1,528.47"
20,5/18/2023,"1,525.24","1,521.53","1,521.53","1,521.53"
21,5/17/2023,"1,523.76","1,525.24","1,525.24","1,525.24"
22,5/16/2023,"1,536.30","1,523.76","1,523.76","1,523.76"
23,5/15/2023,"1,538.82","1,536.30","1,536.30","1,536.30"
24,5/12/2023,"1,541.67","1,538.82","1,538.82","1,538.82"
25,5/11/2023,"1,546.86","1,541.67","1,541.67","1,541.67"
26,5/10/2023,"1,542.68","1,546.86","1,546.86","1,546.86"
27,5/9/2023,"1,553.41","1,542.68","1,542.68","1,542.68"
28,5/8/2023,"1,556.81","1,553.41","1,553.41","1,553.41"
29,5/5/2023,"1,542.58","1,556.81","1,556.81","1,556.81"
30,5/4/2023,"1,555.15","1,542.58","1,542.58","1,542.58"
31,5/3/2023,"1,556.88","1,555.15","1,555.15","1,555.15"
32,5/2/2023,"1,564.51","1,556.88","1,556.88","1,556.88"
33,5/1/2023,"1,555.39","1,564.51","1,564.51","1,564.51"
34,4/28/2023,"1,542.80","1,555.39","1,555.39","1,555.39"
35,4/27/2023,"1,534.96","1,542.80","1,542.80","1,542.80"
36,4/26/2023,"1,556.86","1,534.96","1,534.96","1,534.96"
37,4/25/2023,"1,573.41","1,556.86","1,556.86","1,556.86"
38,4/24/2023,"1,564.68","1,573.41","1,573.41","1,573.41"
39,4/21/2023,"1,554.15","1,564.68","1,564.68","1,564.68"
40,4/20/2023,"1,560.92","1,554.15","1,554.15","1,554.15"
41,4/19/2023,"1,556.50","1,560.92","1,560.92","1,560.92"
42,4/18/2023,"1,566.76","1,556.50","1,556.50","1,556.50"
43,4/17/2023,"1,568.38","1,566.76","1,566.76","1,566.76"
44,4/14/2023,"1,580.81","1,568.38","1,568.38","1,568.38"
45,4/13/2023,"1,561.60","1,580.81","1,580.81","1,580.81"
46,4/12/2023,"1,561.36","1,561.60","1,561.60","1,561.60"
47,4/11/2023,"1,556.75","1,561.36","1,561.36","1,561.36"
48,4/10/2023,"1,557.33","1,556.75","1,556.75","1,556.75"
49,4/6/2023,"1,553.83","1,557.33","1,557.33","1,557.33"
50,4/5/2023,"1,527.40","1,553.83","1,553.83","1,553.83"
51,4/4/2023,"1,527.04","1,527.40","1,527.40","1,527.40"
52,4/3/2023,"1,510.73","1,527.04","1,527.04","1,527.04"
53,3/31/2023,"1,493.96","1,510.73","1,510.73","1,510.73"
54,3/30/2023,"1,485.81","1,493.96","1,493.96","1,493.96"
55,3/29/2023,"1,482.26","1,485.81","1,485.81","1,485.81"
56,3/28/2023,"1,490.71","1,482.26","1,482.26","1,482.26"
57,3/27/2023,"1,484.65","1,490.71","1,490.71","1,490.71"
58,3/24/2023,"1,465.45","1,484.65","1,484.65","1,484.65"
59,3/23/2023,"1,468.05","1,465.45","1,465.45","1,465.45"
60,3/22/2023,"1,490.34","1,468.05","1,468.05","1,468.05"
61,3/21/2023,"1,481.55","1,490.34","1,490.34","1,490.34"
62,3/20/2023,"1,462.81","1,481.55","1,481.55","1,481.55"
63,3/17/2023,"1,481.54","1,462.81","1,462.81","1,462.81"
64,3/16/2023,"1,467.49","1,481.54","1,481.54","1,481.54"
65,3/15/2023,"1,470.01","1,467.49","1,467.49","1,467.49"
66,3/14/2023,"1,457.14","1,470.02","1,470.02","1,470.01"
67,3/13/2023,"1,443.91","1,457.14","1,457.14","1,457.14"
68,3/10/2023,"1,454.63","1,443.91","1,443.91","1,443.91"
69,3/9/2023,"1,469.81","1,454.63","1,454.63","1,454.63"
70,3/8/2023,"1,478.10","1,469.81","1,469.81","1,469.81"
71,3/7/2023,"1,502.39","1,478.10","1,478.10","1,478.10"
72,3/6/2023,"1,503.32","1,502.39","1,502.39","1,502.39"
73,3/3/2023,"1,486.04","1,503.32","1,503.32","1,503.32"
74,3/2/2023,"1,477.49","1,486.04","1,486.04","1,486.04"
75,3/1/2023,"1,480.18","1,477.49","1,477.49","1,477.49"
76,2/28/2023,"1,491.02","1,480.18","1,480.18","1,480.18"
77,2/27/2023,"1,495.64","1,491.02","1,491.02","1,491.02"
78,2/24/2023,"1,514.86","1,495.64","1,495.64","1,495.64"
79,2/23/2023,"1,510.83","1,514.86","1,514.86","1,514.86"
80,2/22/2023,"1,515.77","1,510.83","1,510.83","1,510.83"
81,2/21/2023,"1,536.74","1,515.77","1,515.77","1,515.77"
82,2/17/2023,"1,523.11","1,536.74","1,536.74","1,536.74"
83,2/16/2023,"1,538.53","1,523.11","1,523.11","1,523.11"
84,2/15/2023,"1,546.02","1,538.77","1,538.77","1,538.77"
85,2/14/2023,"1,556.10","1,546.71","1,546.71","1,546.71"
86,2/13/2023,"1,543.29","1,556.10","1,556.10","1,556.10"
87,2/10/2023,"1,528.98","1,543.29","1,543.29","1,543.29"
88,2/9/2023,"1,542.24","1,528.98","1,528.98","1,528.98"
89,2/8/2023,"1,547.00","1,542.24","1,542.24","1,542.24"
90,2/7/2023,"1,537.10","1,547.00","1,547.00","1,547.00"
91,2/6/2023,"1,546.32","1,537.10","1,537.10","1,537.10"
92,2/3/2023,"1,550.33","1,546.32","1,546.32","1,546.32"
93,2/2/2023,"1,560.94","1,550.33","1,550.33","1,550.33"
94,2/1/2023,"1,553.43","1,560.94","1,560.94","1,560.94"
95,1/31/2023,"1,533.57","1,553.43","1,553.43","1,553.43"
96,1/30/2023,"1,547.92","1,533.57","1,533.57","1,533.57"
97,1/27/2023,"1,558.72","1,547.92","1,547.92","1,547.92"
98,1/26/2023,"1,556.28","1,558.72","1,558.72","1,558.72"
99,1/25/2023,"1,556.12","1,556.28","1,556.28","1,556.28"
100,1/24/2023,"1,566.24","1,556.12","1,556.12","1,556.12"
101,1/23/2023,"1,561.79","1,566.24","1,566.24","1,566.24"
102,1/20/2023,"1,552.99","1,561.79","1,561.79","1,561.79"
103,1/19/2023,"1,549.37","1,552.99","1,552.99","1,552.99"
104,1/18/2023,"1,571.65","1,549.37","1,549.37","1,549.37"
105,1/17/2023,"1,579.53","1,571.65","1,571.65","1,571.65"
106,1/13/2023,"1,572.10","1,579.53","1,579.53","1,579.53"
107,1/12/2023,"1,578.26","1,572.10","1,572.10","1,572.10"
108,1/11/2023,"1,569.24","1,578.26","1,578.26","1,578.26"
109,1/10/2023,"1,556.25","1,569.24","1,569.24","1,569.24"
110,1/9/2023,"1,582.51","1,556.25","1,556.25","1,556.25"
111,1/6/2023,"1,568.57","1,582.51","1,582.51","1,582.51"
112,1/5/2023,"1,584.91","1,568.57","1,568.57","1,568.57"
113,1/4/2023,"1,580.97","1,584.91","1,584.91","1,584.91"
114,1/3/2023,"1,585.54","1,580.97","1,580.97","1,580.97"
115,12/30/2022,"1,590.70","1,585.54","1,585.54","1,585.54"
116,12/29/2022,"1,574.23","1,590.70","1,590.70","1,590.70"
117,12/28/2022,"1,584.31","1,574.23","1,574.23","1,574.23"
118,12/27/2022,"1,588.53","1,584.31","1,584.31","1,584.31"
119,12/23/2022,"1,587.22","1,588.53","1,588.53","1,588.53"
120,12/22/2022,"1,589.51","1,587.22","1,587.22","1,587.22"
121,12/21/2022,"1,569.24","1,589.73","1,589.73","1,589.73"
122,12/20/2022,"1,570.16","1,569.24","1,569.24","1,569.24"
123,12/19/2022,"1,575.84","1,570.16","1,570.16","1,570.16"
124,12/16/2022,"1,598.35","1,575.84","1,575.84","1,575.84"
125,12/15/2022,"1,628.65","1,598.35","1,598.35","1,598.35"
126,12/14/2022,"1,626.30","1,628.65","1,628.65","1,628.65"
127,12/13/2022,"1,621.85","1,626.30","1,626.30","1,626.30"
128,12/12/2022,"1,605.20","1,621.85","1,621.85","1,621.85"
129,12/9/2022,"1,626.07","1,605.20","1,605.20","1,605.20"
130,12/8/2022,"1,611.67","1,626.07","1,626.07","1,626.07"
131,12/7/2022,"1,598.13","1,611.67","1,611.67","1,611.67"
132,12/6/2022,"1,610.11","1,598.13","1,598.13","1,598.13"
133,12/5/2022,"1,626.18","1,610.11","1,610.11","1,610.11"
134,12/2/2022,"1,622.56","1,626.18","1,626.18","1,626.18"
135,12/1/2022,"1,618.68","1,622.56","1,622.56","1,622.56"
136,11/30/2022,"1,579.99","1,618.68","1,618.68","1,618.68"
137,11/29/2022,"1,583.67","1,579.99","1,579.99","1,579.99"
138,11/28/2022,"1,595.63","1,583.67","1,583.67","1,583.67"
139,11/25/2022,"1,585.76","1,595.63","1,595.63","1,595.63"
140,11/23/2022,"1,580.32","1,585.76","1,585.76","1,585.76"
141,11/22/2022,"1,566.48","1,580.33","1,580.33","1,580.32"
142,11/21/2022,"1,565.77","1,566.48","1,566.48","1,566.48"
143,11/18/2022,"1,547.21","1,565.77","1,565.77","1,565.77"
144,11/17/2022,"1,547.86","1,547.21","1,547.21","1,547.21"
145,11/16/2022,"1,549.85","1,547.86","1,547.86","1,547.86"
146,11/15/2022,"1,550.93","1,549.85","1,549.85","1,549.85"
147,11/14/2022,"1,550.40","1,550.93","1,550.93","1,550.93"
148,11/11/2022,"1,570.50","1,550.40","1,550.40","1,550.40"
149,11/10/2022,"1,530.84","1,570.50","1,570.50","1,570.50"
150,11/9/2022,"1,547.15","1,530.84","1,530.84","1,530.84"
151,11/8/2022,"1,539.41","1,547.15","1,547.15","1,547.15"
152,11/7/2022,"1,523.29","1,539.41","1,539.41","1,539.41"
153,11/4/2022,"1,514.72","1,523.29","1,523.29","1,523.29"
154,11/3/2022,"1,521.37","1,514.72","1,514.72","1,514.72"
155,11/2/2022,"1,547.57","1,521.37","1,521.37","1,521.37"
156,11/1/2022,"1,546.64","1,547.57","1,547.57","1,547.57"
157,10/31/2022,"1,547.85","1,546.64","1,546.64","1,546.64"
158,10/28/2022,"1,522.18","1,547.85","1,547.85","1,547.85"
159,10/27/2022,"1,530.99","1,522.18","1,522.18","1,522.18"
160,10/26/2022,"1,514.03","1,530.99","1,530.99","1,530.99"
161,10/25/2022,"1,502.28","1,514.03","1,514.03","1,514.03"
162,10/24/2022,"1,474.11","1,502.28","1,502.28","1,502.28"
163,10/21/2022,"1,442.25","1,474.11","1,474.11","1,474.11"
164,10/20/2022,"1,454.08","1,442.25","1,442.25","1,442.25"
165,10/19/2022,"1,474.48","1,454.08","1,454.08","1,454.08"
166,10/18/2022,"1,466.18","1,474.48","1,474.48","1,474.48"
167,10/17/2022,"1,441.15","1,466.18","1,466.18","1,466.18"
168,10/14/2022,"1,453.26","1,441.15","1,441.15","1,441.15"
169,10/13/2022,"1,421.19","1,453.26","1,453.26","1,453.26"
170,10/12/2022,"1,428.76","1,421.19","1,421.19","1,421.19"
171,10/11/2022,"1,420.46","1,428.76","1,428.76","1,428.76"
172,10/10/2022,"1,429.72","1,420.46","1,420.46","1,420.46"
173,10/7/2022,"1,460.69","1,429.72","1,429.72","1,429.72"
174,10/6/2022,"1,479.94","1,460.69","1,460.69","1,460.69"
175,10/5/2022,"1,475.06","1,479.94","1,479.94","1,479.94"
176,10/4/2022,"1,441.49","1,475.06","1,475.06","1,475.06"
177,10/3/2022,"1,411.36","1,441.49","1,441.49","1,441.49"
178,9/30/2022,"1,431.45","1,411.36","1,411.36","1,411.36"
179,9/29/2022,"1,444.73","1,431.45","1,431.45","1,431.45"
180,9/28/2022,"1,413.68","1,444.73","1,444.73","1,444.73"
181,9/27/2022,"1,416.72","1,413.68","1,413.68","1,413.68"
182,9/26/2022,"1,431.15","1,416.72","1,416.72","1,416.72"
183,9/23/2022,"1,438.87","1,431.15","1,431.15","1,431.15"
184,9/22/2022,"1,431.50","1,438.87","1,438.87","1,438.87"
185,9/21/2022,"1,456.05","1,431.50","1,431.50","1,431.50"
186,9/20/2022,"1,472.85","1,456.05","1,456.05","1,456.05"
187,9/19/2022,"1,481.14","1,473.11","1,473.11","1,473.11"
188,9/16/2022,"1,485.16","1,481.14","1,481.14","1,481.14"
189,9/15/2022,"1,477.10","1,485.16","1,485.16","1,485.16"
190,9/14/2022,"1,477.00","1,477.10","1,477.10","1,477.10"
191,9/13/2022,"1,526.98","1,477.00","1,477.00","1,477.00"
192,9/12/2022,"1,517.20","1,526.98","1,526.98","1,526.98"
193,9/9/2022,"1,504.72","1,517.20","1,517.20","1,517.20"
194,9/8/2022,"1,478.50","1,504.72","1,504.72","1,504.72"
195,9/7/2022,"1,454.24","1,478.50","1,478.50","1,478.50"
196,9/6/2022,"1,453.94","1,454.24","1,454.24","1,454.24"
197,9/2/2022,"1,475.12","1,453.94","1,453.94","1,453.94"
198,9/1/2022,"1,451.16","1,475.12","1,475.12","1,475.12"
199,8/31/2022,"1,460.37","1,451.16","1,451.16","1,451.16"
200,8/30/2022,"1,470.07","1,460.37","1,460.37","1,460.37"
201,8/29/2022,"1,480.51","1,470.07","1,470.07","1,470.07"
202,8/26/2022,"1,523.11","1,480.51","1,480.51","1,480.51"
203,8/25/2022,"1,506.51","1,523.11","1,523.11","1,523.11"
204,8/24/2022,"1,504.74","1,506.51","1,506.51","1,506.51"
205,8/23/2022,"1,525.95","1,504.74","1,504.74","1,504.74"
206,8/22/2022,"1,547.34","1,525.95","1,525.95","1,525.95"
207,8/19/2022,"1,543.10","1,547.34","1,547.34","1,547.34"
208,8/18/2022,"1,549.82","1,543.10","1,543.10","1,543.10"
209,8/17/2022,"1,559.64","1,549.82","1,549.82","1,549.82"
210,8/16/2022,"1,563.79","1,559.64","1,559.64","1,559.64"
211,8/15/2022,"1,556.18","1,563.79","1,563.79","1,563.79"
212,8/12/2022,"1,536.03","1,556.18","1,556.18","1,556.18"
213,8/11/2022,"1,547.08","1,536.03","1,536.03","1,536.03"
214,8/10/2022,"1,529.96","1,547.08","1,547.08","1,547.08"
215,8/9/2022,"1,534.48","1,529.96","1,529.96","1,529.96"
216,8/8/2022,"1,531.03","1,534.48","1,534.48","1,534.48"
217,8/5/2022,"1,531.48","1,531.03","1,531.03","1,531.03"
218,8/4/2022,"1,539.08","1,531.48","1,531.48","1,531.48"
219,8/3/2022,"1,524.99","1,539.08","1,539.08","1,539.08"
220,8/2/2022,"1,530.65","1,524.99","1,524.99","1,524.99"
221,8/1/2022,"1,541.88","1,530.65","1,530.65","1,530.65"
222,7/29/2022,"1,547.32","1,541.88","1,541.88","1,541.88"
223,7/28/2022,"1,538.91","1,547.32","1,547.32","1,547.32"
224,7/27/2022,"1,529.01","1,538.91","1,538.91","1,538.91"
225,7/26/2022,"1,520.65","1,529.01","1,529.01","1,529.01"
226,7/25/2022,"1,512.34","1,520.65","1,520.65","1,520.65"
227,7/22/2022,"1,518.19","1,512.34","1,512.34","1,512.34"
228,7/21/2022,"1,495.67","1,518.19","1,518.19","1,518.19"
229,7/20/2022,"1,511.68","1,495.67","1,495.67","1,495.67"
230,7/19/2022,"1,484.89","1,511.68","1,511.68","1,511.68"
231,7/18/2022,"1,517.51","1,484.89","1,484.89","1,484.89"
232,7/15/2022,"1,481.27","1,517.51","1,517.51","1,517.51"
233,7/14/2022,"1,486.75","1,481.27","1,481.27","1,481.27"
234,7/13/2022,"1,500.82","1,486.75","1,486.75","1,486.75"
235,7/12/2022,"1,521.01","1,500.82","1,500.82","1,500.82"
236,7/11/2022,"1,524.54","1,521.01","1,521.01","1,521.01"
237,7/8/2022,"1,520.49","1,524.54","1,524.54","1,524.54"
238,7/7/2022,"1,513.46","1,520.49","1,520.49","1,520.49"
239,7/6/2022,"1,503.56","1,513.46","1,513.46","1,513.46"
240,7/5/2022,"1,512.47","1,503.57","1,503.57","1,503.56"
241,7/1/2022,"1,494.31","1,512.47","1,512.47","1,512.47"
242,6/30/2022,"1,499.32","1,494.31","1,494.31","1,494.31"
243,6/29/2022,"1,486.34","1,499.32","1,499.32","1,499.32"
244,6/28/2022,"1,512.60","1,486.34","1,486.34","1,486.34"
245,6/27/2022,"1,506.72","1,512.60","1,512.60","1,512.60"
246,6/24/2022,"1,482.55","1,506.72","1,506.72","1,506.72"
247,6/23/2022,"1,450.41","1,482.55","1,482.55","1,482.55"
248,6/22/2022,"1,430.06","1,450.41","1,450.41","1,450.41"
249,6/21/2022,"1,393.22","1,430.06","1,430.06","1,430.06"
250,6/17/2022,"1,392.94","1,393.22","1,393.22","1,393.22"
251,6/16/2022,"1,414.45","1,392.94","1,392.94","1,392.94"
